i	ID	dateofDecision	senateNumber	chamberNumberCitation	chamberNumberText	judgesFromText_raw	judgesFromText	judgesFromCitation	link
534	534	1BvR961/05	11.07.2005	1	1	1	 den Präsidenten Papier die Richterin Hohmann-Dennhardt den Richter Hoffmann-Riem  	Papier, Hohmann-Dennhardt, Hoffmann-Riem	Papier, Hohmann-Dennhardt, Hoffmann-Riem	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2005/07/rk20050711_1bvr096105.html;jsessionid=38CD8795F696B833AD78DCDE26637C83.2_cid394
535	535	2BvR1268/07	29.10.2008	2	3	3	 den Richter Mellinghoff die Richterin Lübbe-Wolff den Richter Gerhardt  	Mellinghoff, Lübbe-Wolff, Gerhardt	Mellinghoff, Lübbe-Wolff, Gerhardt	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2008/10/rk20081029_2bvr126807.html;jsessionid=3278F700D0CBA5F04EF4B80E5096AE75.2_cid392
536	536	1BvR1840/07	07.11.2007	1	3	3	 den Präsidenten Papier die Richter Gaier Kirchhof  	Papier, Gaier, Kirchhof	Papier, Gaier, Kirchhof	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2007/11/rk20071107_1bvr184007.html;jsessionid=EEECE4EF753CAE30074DE0065D7ED54A.2_cid392
537	537	1BvR1542/04	27.07.2004	1	2	2	 die Richterin Jaeger die Richter Hömig Bryde  	Jaeger, Hömig, Bryde	Jaeger, Hömig, Bryde	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2004/07/rk20040727_1bvr154204.html;jsessionid=9554C29B9B4590BB0BA796A500F631F7.2_cid393
538	538	2BvR492/042BvR493/042BvR494/042BvR495/042BvR496/042BvR497/042BvR498/042BvR499/042BvR500/042BvR501/04	05.07.2005	2	3	NA	 den Vizepräsidenten Hassemer die Richterin Osterloh den Richter Mellinghoff  	Hassemer, Osterloh, Mellinghoff	Hassemer, Osterloh, Mellinghoff	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2005/07/rk20050705_2bvr049204.html;jsessionid=C3193CC963302E14828CEB71501AE8DA.2_cid383
539	539	2BvR563/05	10.08.2006	2	1	NA	 den Vizepräsidenten Hassemer die Richter Di Fabio Landau  	Hassemer, Di Fabio, Landau	Hassemer, DiFabio, Landau	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2006/08/rk20060810_2bvr056305.html;jsessionid=CCDF1FAB41601716C6F38D18973F0A22.2_cid393
540	540	2BvQ16/12	14.03.2012	2	NA	NA	 Präsident Voßkuhle Lübbe-Wolff Gerhardt Landau Huber Hermanns Müller Kessal-Wulf  	Voßkuhle, Lübbe-Wolff, Gerhardt, Landau, Huber, Hermanns, Müller, Kessal-Wulf	Voßkuhle, Lübbe-Wolff, Gerhardt, Landau, Huber, Hermanns, Müller, Kessal-Wulf	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2012/03/qs20120314_2bvq001612.html;jsessionid=F7FE2746D63CF33ABE3BF5A7395AC420.2_cid370
541	541	1BvR248/14	24.02.2014	1	NA	3	 den Vizepräsidenten Kirchhof   den Richter Masing   die Richterin Baer  	Kirchhof, Masing, Baer	Kirchhof, Masing, Baer	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2014/02/rk20140224_1bvr024814.html;jsessionid=02E3EBDB2F6A2935C700813F82DF7AD2.2_cid392
542	542	1BvR476/10	15.03.2010	1	2	2	 die Richterin Hohmann-Dennhardt die Richter Gaier Kirchhof  	Hohmann-Dennhardt, Gaier, Kirchhof	Hohmann-Dennhardt, Gaier, Kirchhof	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2010/03/rk20100315_1bvr047610.html;jsessionid=B94D35F3E5DED1C35B7AD4B0C062B20C.2_cid392
543	543	1BvR3039/06	05.01.2010	1	2	2	 die Richterin Hohmann-Dennhardt die Richter Gaier Kirchhof  	Hohmann-Dennhardt, Gaier, Kirchhof	Hohmann-Dennhardt, Gaier, Kirchhof	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2010/01/rk20100105_1bvr303906.html;jsessionid=F052BB13B98AE9C94B38A513D4A830A8.2_cid361
544	544	2BvR1236/10	01.02.2011	2	3	3	 den Richter Mellinghoff die Richterin Lübbe-Wolff den Richter Huber  	Mellinghoff, Lübbe-Wolff, Huber	Mellinghoff, Lübbe-Wolff, Huber	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2011/02/rk20110201_2bvr123610.html;jsessionid=A4155384423015FF543BA6EF3885DCD5.2_cid383
545	545	1BvR1841/101BvR1846/101BvR1850/101BvR1858/10	21.05.2012	1	3	3	 den Vizepräsidenten Kirchhof den Richter Schluckebier die Richterin Baer  	Kirchhof, Schluckebier, Baer	Kirchhof, Schluckebier, Baer	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2012/05/rk20120521_1bvr184110.html;jsessionid=D311B8B7306AF0251A6A0C8756DD9B14.2_cid383
546	546	1BvR1248/99	23.04.2003	1	3	3	 den Präsidenten Papier den Richter Steiner die Richterin Hohmann-Dennhardt  	Papier, Steiner, Hohmann-Dennhardt	Papier, Steiner, Hohmann-Dennhardt	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2003/04/rk20030423_1bvr124899.html;jsessionid=AC1E978DE56A7FDAB0FBB5ABFDF73990.2_cid370
547	547	1BvR540/04	12.03.2004	1	2	NA	 die Richterin Jaeger die Richter Hömig Bryde  	Jaeger, Hömig, Bryde	Jaeger, Hömig, Bryde	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2004/03/rk20040312_1bvr054004.html;jsessionid=7E2B342B3D6F7C257194D0FBAF44C0B4.2_cid394
548	548	1BvR140/98	09.02.2000	1	1	1	 Vizepräsidenten Papier die Richter Steiner Hoffmann-Riem  	Papier, Steiner, Hoffmann-Riem	Papier, Steiner, Hoffmann-Riem	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2000/02/rk20000209_1bvr014098.html;jsessionid=DD8BAA3737068F18A7E6488BC36D9279.2_cid393
549	549	2BvR293/00	09.04.2000	2	3	3	 Präsidentin Limbach die Richter Hassemer Di Fabio  	Limbach, Hassemer, Di Fabio	Limbach, Hassemer, DiFabio	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2000/04/rk20000409_2bvr029300.html;jsessionid=06A18F8033DC963E9770A87E2F2EAD5C.2_cid383
550	550	1BvR1351/00	19.09.2001	1	1	1	 den Vizepräsidenten Papier die Richter Steiner Hoffmann-Riem  	Papier, Steiner, Hoffmann-Riem	Papier, Steiner, Hoffmann-Riem	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2001/09/rk20010919_1bvr135100.html;jsessionid=1F7F65780DFBA22CEEDFCBFEFFD0FC9E.2_cid392
551	551	1BvR1114/98	18.06.1998	1	1	1	 den Vizepräsidenten Papier die Richter Grimm Hömig  	Papier, Grimm, Hömig	Papier, Grimm, Hömig	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/06/rk19980618_1bvr111498.html;jsessionid=A80AC76F2E663B765A48CA1567C7C390.2_cid393
552	552	1BvR2783/06	10.11.2008	1	3	3	 den Präsidenten Papier die Richter Bryde Schluckebier  	Papier, Bryde, Schluckebier	Papier, Bryde, Schluckebier	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2008/11/rk20081110_1bvr278306.html;jsessionid=C11DCFFEEE08E2A12A2CC6F43B3ECC2A.2_cid394
553	553	2BvR472/03	25.02.2008	2	3	3	 den Richter Broß die Richterin Osterloh den Richter Mellinghoff  	Broß, Osterloh, Mellinghoff	Broß, Osterloh, Mellinghoff	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2008/02/rk20080225_2bvr047203.html;jsessionid=A72DACB1CB600B0567D11E2BA49DA326.2_cid392
554	554	2BvL5/00	08.06.2004	2	NA	NA	 Vizepräsident Hassemer Jentsch Broß Osterloh Di Fabio Mellinghoff Lübbe-Wolff Gerhardt  	Hassemer, Jentsch, Broß, Osterloh, Di Fabio, Mellinghoff, Lübbe-Wolff, Gerhardt	Hassemer, Jentsch, Broß, Osterloh, DiFabio, Mellinghoff, Lübbe-Wolff, Gerhard	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2004/06/ls20040608_2bvl000500.html;jsessionid=C7A84D01B3EA5B0C20605FEDA2A5EEB1.2_cid383
555	555	1BvR1118/10	16.02.2012	1	3	3	 den Vizepräsidenten Kirchhof den Richter Schluckebier die Richterin Baer  	Kirchhof, Schluckebier, Baer	Kirchhof, Schluckebier, Baer	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2012/02/rk20120216_1bvr111810.html;jsessionid=62C848AB3FACEDC8B4EC288613DDF536.2_cid361
556	556	1BvQ8/09	24.02.2009	1	3	3	 den Präsidenten Papier die Richter Bryde Schluckebier  	Papier, Bryde, Schluckebier	Papier, Bryde, Schluckebier	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2009/02/qk20090224_1bvq000809.html;jsessionid=8D60BC7CBD2F5196C92A8C7CA855321B.2_cid383
557	557	1BvR1789/00	10.10.2000	1	1	1	 den Vizepräsidenten Papier die Richter Steiner Hoffmann-Riem  	Papier, Steiner, Hoffmann-Riem	Papier, Steiner, Hoffmann-Riem	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2000/10/rk20001010_1bvr178900.html;jsessionid=9555F98046F1BFB52A5FE8ABCBFE93E3.2_cid392
558	558	2BvR274/032BvR937/03	31.07.2008	2	1	1	 den Vizepräsidenten Voßkuhle die Richterin Osterloh den Richter Mellinghoff  	Voßkuhle, Osterloh, Mellinghoff	Voßkuhle, Osterloh, Mellinghoff	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2008/07/rk20080731_2bvr027403.html;jsessionid=D3621814E7B335009791AACA3869AAAF.2_cid383
559	559	1BvR3360/13	16.04.2014	1	1	1	 den Vizepräsidenten Kirchhof   den Richter Eichberger   die Richterin Britz  	Kirchhof, Eichberger, Britz	Kirchhof, Eichberger, Britz	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2014/04/rk20140416_1bvr336013.html;jsessionid=C0F45AC35BC7050764EB5FCEBA2F9221.2_cid361
560	560	1BvR2251/021BvQ49/02	18.12.2002	1	2	2	 die Richterin Jaeger die Richter Hömig Bryde  	Jaeger, Hömig, Bryde	Jaeger, Hömig, Bryde	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2002/12/rk20021218_1bvr225102.html;jsessionid=D9F06C3855599BF12803B3F089A52380.2_cid383
561	561	1BvR1591/03	15.03.2004	1	1	1	 den Präsidenten Papier die Richterin Haas den Richter Hoffmann-Riem  	Papier, Haas, Hoffmann-Riem	Papier, Haas, Hoffmann-Riem	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2004/03/rk20040315_1bvr159103.html;jsessionid=7E2B342B3D6F7C257194D0FBAF44C0B4.2_cid394
562	562	2BvR1027/02	17.07.2002	2	NA	NA	 Vizepräsident Hassemer Broß Osterloh Di Fabio Mellinghoff Lübbe-Wolff  	Hassemer, Broß, Osterloh, Di Fabio, Mellinghoff, Lübbe-Wolff	Hassemer, Broß, Osterloh, DiFabio, Mellinghoff, Lübbe-Wolff	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2002/07/rs20020717_2bvr102702.html;jsessionid=43BC68B882B93AC115ADAC47A750A695.2_cid383
563	563	2BvR708/96	30.09.2000	2	3	3	 die Richterin Präsidentin Limbach die Richter Hassemer Di Fabio  	Limbach, Hassemer, Di Fabio	Limbach, Hassemer, DiFabio	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2000/09/rk20000930_2bvr070896.html;jsessionid=465235E7A8872EFAB632D015768ACE00.2_cid361
564	564	2BvR1809/14	27.10.2015	2	1	1	 den Präsidenten Voßkuhle   den Richter Landau   die Richterin Hermanns  	Voßkuhle, Landau, Hermanns	Voßkuhle, Landau, Hermanns	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2015/10/rk20151027_2bvr180914.html;jsessionid=4C5A0C7FEA54A4C747FFD24DF4399C9E.2_cid383
565	565	1BvR3222/09	27.01.2011	1	2	2	 die Richterin Hohmann-Dennhardt die Richter Gaier Paulus  	Hohmann-Dennhardt, Gaier, Paulus	Hohmann-Dennhardt, Gaier, Paulus	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2011/01/rk20110127_1bvr322209.html;jsessionid=A4155384423015FF543BA6EF3885DCD5.2_cid383
566	566	1BvR726/98	21.05.1999	1	2	2	 Richter Kühling die Richterin Jaeger den Richter Steiner  	Kühling, Jaeger, Steiner	Kühling, Jaeger, Steiner	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1999/05/rk19990521_1bvr072698.html;jsessionid=8881AFBC8B2D8DFA06D4D3655BE38375.2_cid361
567	567	1BvR995/951BvR2288/951BvR2711/95	14.07.1999	1	NA	NA	 Vizepräsidenten Papier der Richter Grimm Kühling der Richterinnen Jaeger Haas der Richter Hömig Steiner der Richterin Hohmann-Dennhardt  	Papier, Grimm, Kühling, Jaeger, Haas, Hömig, Steiner, Hohmann-Dennhardt	Papier, Grimm, Kühling, Jaeger, Haas, Hömig, Steiner, , Hohmann-Dennhardt	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1999/07/rs19990714_1bvr099595.html;jsessionid=E094AF042ADE9E9B898A0B2571270202.2_cid361
568	568	2BvR1661/00	24.11.2000	2	3	3	 die Richterin Präsidentin Limbach die Richter Hassemer Di Fabio  	Limbach, Hassemer, Di Fabio	Limbach, Hassemer, DiFabio	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2000/11/rk20001124_2bvr166100.html;jsessionid=89825C1B082505C9F507F7EA0EDC118B.2_cid361
569	569	2BvR323/00	09.03.2000	2	3	3	 Präsidentin Limbach die Richter Hassemer Broß  	Limbach, Hassemer, Broß	Limbach, Hassemer, Broß	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2000/03/rk20000309_2bvr032300.html;jsessionid=786B79FF72D9093AD832BBB3A3216E03.2_cid361
570	570	1BvR1690/15	22.12.2015	1	2	2	 die Richter Gaier   Schluckebier   Paulus  	Gaier, Schluckebier, Paulus	Gaier, Schluckebier, Paulus	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2015/12/rk20151222_1bvr169015.html;jsessionid=2F110EC1C11BEF76827C6C03122833CC.2_cid383
571	571	1BvR522/01	18.05.2001	1	2	2	 die Richterin Jaeger die Richter Hömig Bryde  	Jaeger, Hömig, Bryde	Jaeger, Hömig, Bryde	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2001/05/rk20010518_1bvr052201.html;jsessionid=FEC180FB58A644183BFD5E741B7FEDB3.2_cid394
572	572	1BvR1444/01	29.11.2005	1	1	NA	 den Präsidenten Papier die Richterin Hohmann-Dennhardt den Richter Hoffmann-Riem  	Papier, Hohmann-Dennhardt, Hoffmann-Riem	Papier, Hohmann-Dennhardt, Hoffmann-Riem	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2005/11/rk20051129_1bvr144401.html;jsessionid=8FA557F2EC25FBFA069E21B2FC558BC5.2_cid394
573	573	1BvR1024/12	20.05.2013	1	3	3	 den Vizepräsidenten Kirchhof den Richter Masing die Richterin Baer  	Kirchhof, Masing, Baer	Kirchhof, Masing, Baer	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2013/05/rk20130520_1bvr102412.html;jsessionid=0D3CE57D0671B3ED081CBDD7ACD62681.2_cid392
574	574	2BvR446/98	15.07.1998	2	2	2	 Präsidentin Limbach die Richter Kruis Winter  	Limbach, Kruis, Winter	Limbach, Kruis, Winter	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/07/rk19980715_2bvr044698.html;jsessionid=B9BC72234980F6E821EE2C47BA84AD30.2_cid392
575	575	1BvR1435/98	25.08.1998	1	1	1	 Vizepräsidenten Papier die Richter Grimm Steiner  	Papier, Grimm, Steiner	Papier, Grimm, Steiner	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/08/rk19980825_1bvr143598.html;jsessionid=D2141354F44A678AD2638E38D2CAE485.2_cid392
576	576	2BvR1588/02	17.05.2004	2	NA	NA	 Vizepräsident Hassemer Jentsch Broß Osterloh Di Fabio Mellinghoff Lübbe-Wolff Gerhardt  	Hassemer, Jentsch, Broß, Osterloh, Di Fabio, Mellinghoff, Lübbe-Wolff, Gerhardt	Hassemer, Jentsch, Broß, Osterloh, DiFabio, Mellinghoff, Lübbe-Wolff, Gerhardt	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2004/05/rs20040517_2bvr158802.html;jsessionid=F736C2314CC9A76C6FB4E282F556E7A9.2_cid392
577	577	1BvR390/96	08.01.1998	1	2	2	 Richter Kühling die Richterin Jaeger den Richter Steiner  	Kühling, Jaeger, Steiner	Kühling, Jaeger, Steiner	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/01/rk19980108_1bvr039096.html;jsessionid=4B93D775BB7CA301752E33617002A370.2_cid383
578	578	2BvR461/02	11.06.2002	2	3	3	 den Vizepräsidenten Hassemer die Richterin Osterloh den Richter Mellinghoff  	Hassemer, Osterloh, Mellinghoff	Hassemer, Osterloh, Mellinghoff	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2002/06/rk20020611_2bvr046102.html;jsessionid=9185FF37B41A8F227EC178F71222AA6C.2_cid361
579	579	1BvR2077/99	27.04.2000	1	3	3	 Vizepräsidenten Papier die Richterinnen Haas Hohmann-Dennhardt  	Papier, Haas, Hohmann-Dennhardt	Papier, Haas, Hohmann-Dennhardt	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2000/04/rk20000427_1bvr207799.html;jsessionid=3BD94B07865AB540DC11E2051F5F7FB2.2_cid370
580	580	1BvR2218/97	27.07.2000	1	2	2	 den Richter Kühling die Richterin Jaeger den Richter Hömig  	Kühling, Jaeger, Hömig	Kühling, Jaeger, Hömig	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2000/07/rk20000727_1bvr221897.html;jsessionid=D4AD9B61D4474C4C6C5EB8A9B13A7804.2_cid393
581	581	1BvR2110/93	06.10.1999	1	2	2	 Richter Kühling die Richterin Jaeger den Richter Steiner  	Kühling, Jaeger, Steiner	Kühling, Jaeger, Steiner	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1999/10/rk19991006_1bvr211093.html;jsessionid=24391807022EB4CC84ADD16C1B043810.2_cid361
582	582	1BvR377/13	10.03.2014	1	3	3	 den Vizepräsidenten Kirchhof den Richter Masing die Richterin Baer  	Kirchhof, Masing, Baer	Kirchhof, Masing, Baer	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2014/03/rk20140310_1bvr037713.html;jsessionid=DABFEE5C234D4D2B1BCDDEDB3B0093B0.2_cid361
583	583	1BvR1382/10	08.12.2010	1	1	1	 den Vizepräsidenten Kirchhof die Richter Eichberger Masing  	Kirchhof, Eichberger, Masing	Kirchhof, Eichberger, Masing	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2010/12/rk20101208_1bvr138210.html;jsessionid=F5B41C3509EEB8C57827659AA0010C51.2_cid370
584	584	2BvR1809/01	08.02.2002	2	1	1	 Sommer Broß Mellinghoff  	Sommer, Broß, Mellinghoff	Sommer, Broß, Mellinghoff	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2002/02/rk20020208_2bvr180901.html;jsessionid=22E201A48A7206AA8B7A29241085AFB3.2_cid392
585	585	2BvB1/012BvB2/012BvB3/01	11.06.2002	2	NA	NA	 Vizepräsident Hassemer Sommer Jentsch Broß Osterloh Di Fabio Mellinghoff  	Hassemer, Sommer, Jentsch, Broß, Osterloh, Di Fabio, Mellinghoff	Hassemer, Sommer, Jentsch, Broß, Osterloh, DiFabio, Mellinghoff	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2002/06/bs20020611_2bvb000101.html;jsessionid=9185FF37B41A8F227EC178F71222AA6C.2_cid361
586	586	2BvR2693/07	25.11.2008	2	3	3	 den Richter Mellinghoff die Richterin Lübbe-Wolff den Richter Gerhardt  	Mellinghoff, Lübbe-Wolff, Gerhardt	Mellinghoff, Lübbe-Wolff, Gerhardt	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2008/11/rk20081125_2bvr269307.html;jsessionid=83184D9ED7117BDE5754B0B017743976.2_cid393
587	587	1BvR2341/03	29.01.2004	1	NA	2	 die Richterin Jaeger die Richter Hömig Bryde  	Jaeger, Hömig, Bryde	Jaeger, Hömig, Bryde	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2004/01/rk20040129_1bvr234103.html;jsessionid=88BAEA4CFE93339DCCFFCCDE5BFBCAE4.2_cid370
588	588	2BvR1824/12	12.09.2012	2	NA	NA	 Präsident Voßkuhle Lübbe-Wolff Gerhardt Landau Huber Hermanns Müller Kessal-Wulf  	Voßkuhle, Lübbe-Wolff, Gerhardt, Landau, Huber, Hermanns, Müller, Kessal-Wulf	Voßkuhle, Lübbe-Wolff, Gerhardt, Landau, Huber, Hermanns, Müller, Kessal-Wulf	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2012/09/rs20120912_2bvr182412.html;jsessionid=1A7A1B81C622DD2DF4BF952803786BF7.2_cid383
589	589	1BvR1803/08	04.04.2011	1	3	3	 den Vizepräsidenten Kirchhof den Richter Schluckebier die Richterin Baer  	Kirchhof, Schluckebier, Baer	Kirchhof, Schluckebier, Baer	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2011/04/rk20110404_1bvr180308.html;jsessionid=021B5F8B990E3E14001EADCAC9B73B5A.2_cid361
590	590	1BvR840/08	31.07.2008	1	2	2	 die Richterin Hohmann-Dennhardt die Richter Gaier Kirchhof  	Hohmann-Dennhardt, Gaier, Kirchhof	Hohmann-Dennhardt, Gaier, Kirchhof	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2008/07/rk20080731_1bvr084008.html;jsessionid=D3621814E7B335009791AACA3869AAAF.2_cid383
591	591	1BvR2681/09	15.07.2010	1	3	3	 den Vizepräsidenten Kirchhof die Richter Bryde Schluckebier  	Kirchhof, Bryde, Schluckebier	Kirchhof, Bryde, Schluckebier	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2010/07/rk20100715_1bvr268109.html;jsessionid=2628F67A5E7C796255ADEB79323617ED.2_cid383
592	592	2BvC14/99	09.10.2000	2	NA	NA	 Präsidentin Limbach Sommer Jentsch Hassemer Broß Osterloh Di Fabio  	Limbach, Sommer, Jentsch, Hassemer, Broß, Osterloh, Di Fabio	Limbach, Sommer, Jentsch, Hassemer, Broß, Osterloh, DiFabio	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2000/10/cs20001009_2bvc001499.html;jsessionid=E72245B03ED57D57470D6D5BCC75C8CF.2_cid361
593	593	2BvR367/07	14.10.2010	2	1	1	 die Richterin Osterloh die Richter Mellinghoff Gerhardt  	Osterloh, Mellinghoff, Gerhardt	Osterloh, Mellinghoff, Gerhardt	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2010/10/rk20101014_2bvr036707.html;jsessionid=A9FF3E65AFBACC9C5ECF5EE056E2BBBC.2_cid361
594	594	2BvR2274/13	28.09.2015	2	1	1	 den Präsidenten Voßkuhle   den Richter Landau   die Richterin Hermanns  	Voßkuhle, Landau, Hermanns	Voßkuhle, Landau, Hermanns	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2015/09/rk20150928_2bvr227413.html;jsessionid=DA3972C577072AFF46CBD3C6B3A39218.2_cid393
595	595	1BvR2412/05	16.01.2007	1	2	2	 die Richter Bryde Eichberger Schluckebier  	Bryde, Eichberger, Schluckebier	Bryde, Eichberger, Schluckebier	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2007/01/rk20070116_1bvr241205.html;jsessionid=80FACA29D73F5CB28AF4F965AC4B94DC.2_cid370
596	596	2BvR1243/12	18.07.2012	2	3	3	 die Richterin Lübbe-Wolff den Richter Huber die Richterin Kessal-Wulf  	Lübbe-Wolff, Huber, Kessal-Wulf	Lübbe-Wolff, Huber, Kessal-Wulf	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2012/07/rk20120718_2bvr124312.html;jsessionid=ED83A7C303458376BE685596A44FBF47.2_cid383
597	597	2BvC18/99	24.10.2000	2	NA	NA	 Präsidentin Limbach Sommer Jentsch Hassemer Broß Osterloh Di Fabio  	Limbach, Sommer, Jentsch, Hassemer, Broß, Osterloh, Di Fabio	Limbach, Sommer, Jentsch, Hassemer, Broß, Osterloh, DiFabio	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2000/10/cs20001024_2bvc001899.html;jsessionid=83EDC6D8C7B0ED4F90F11B1DE9C590A2.2_cid361
598	598	2BvR1387/07	08.10.2007	2	3	3	 den Richter Broß die Richterin Osterloh den Richter Mellinghoff  	Broß, Osterloh, Mellinghoff	Broß, Osterloh, Mellinghoff	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2007/10/rk20071008_2bvr138707.html;jsessionid=B57BFF73BFDBE8EA42E8E314F93464F8.2_cid394
599	599	1BvQ39/04	27.09.2004	1	NA	NA	 den Präsidenten Papier den Richter Steiner die Richterin Hohmann-Dennhardt  	Papier, Steiner, Hohmann-Dennhardt	Papier, Steiner, Hohmann-Dennhardt	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2004/09/qk20040927_1bvq003904.html;jsessionid=6AC461CA908A0BFC6F9B44F888FAC502.2_cid383
600	600	2BvR282/00	21.08.2001	2	3	3	 die Richterin Präsidentin Limbach die Richter Hassemer Mellinghoff  	Limbach, Hassemer, Mellinghoff	Limbach, Hassemer, Mellinghoff	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2001/08/rk20010821_2bvr028200.html;jsessionid=2C484E53618DE8FD4CFD91BBA0F437AC.2_cid392
601	601	1BvR3299/08	03.04.2009	1	3	3	 den Präsidenten Papier die Richter Bryde Schluckebier  	Papier, Bryde, Schluckebier	Papier, Bryde, Schluckebier	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2009/04/rk20090403_1bvr329908.html;jsessionid=70994D0E3F8A6DC87D3C66408D82B1BA.2_cid370
602	602	1BvR2250/11	20.09.2011	1	2	2	 die Richter Gaier Paulus die Richterin Britz  	Gaier, Paulus, Britz	Gaier, Paulus, Britz	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2011/09/rk20110920_1bvr225011.html;jsessionid=E40DA887567FFAD88D597D7B4CD4F7F2.2_cid361
603	603	1BvR734/14	24.03.2014	1	1	1	 den Vizepräsidenten Kirchhof den Richter Eichberger die Richterin Britz  	Kirchhof, Eichberger, Britz	Kirchhof, Eichberger, Britz	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2014/03/rk20140324_1bvr073414.html;jsessionid=945691B1D5D0A994D1FA377C1C7285A1.2_cid383
